,REQUIREMENT,MSCW,EntomoloGUI,LABEL IMAGING,PROCESSING,QUALITY,SPECIMEN IMAGING,WORKFLOW,WORKSTATION,WORKSTATION (Hardware),NOTES,CATEGORY
35,"Images yielded from the dorsal and lateral specimen cameras have enough depth of field, that placing the specimen slightly off the focal plane (up to 10 mm either way) should still result in an in focus image",M,,,,,Y,,,,How we achieve this is to be decided. (specific aperture settings),SPECIMEN IMAGING
41,Minimal/negligible distortion across images yielded from the dorsal and lateral specimen cameras. Distortion will not impact any measurements or key features of insects.,M,,,,,Y,,,,,SPECIMEN IMAGING
42,Workstation supports ability to image and scan specimen barcodes at rate of 100 specimens per hour (minimum) without straining or too much twisting or contorting. Ergonomics to support Digitizer working for periods of up to 2.5 hours.,M,,,,,,Y,Y,,,"WORKSTATION, WORKFLOW"
43,The workstation's stage and base material requirements are up to imaging quality standards in terms of color and specularity. The material is durable and easy to clean,M,,,,Y,,,Y,,,"WORKSTATION, QUALITY"
44,The workstation is designed with enough room for the Digitizer to easily move the specimen and stage through the imaging process without incurring any risk to specimen,M,,,,,,,Y,,,WORKSTATION
46,The workstation supports the specimen being subject to little vibration or movement during digitisation,M,,,,,,,Y,,,WORKSTATION
47,"The workstation is designed as a stable rig, so there is no risk to a specimen whilst it is being imaged",M,,,,,,,Y,,,WORKSTATION
48,The workstation features an enclosure constructed from material that promotes the ability to distribute light evenly.,M,,,,,,,Y,,,WORKSTATION
,"Workstation is designed in such a manner that factors, like brightness of lights, heat radiating off of the equipment, etc. do not cause discomfort to the Digitizer or negatively impact the specimen",M,,,,,,,Y,,,WORKSTATION
53,The initial set up of the workstation is tailored to the needs of the majority of Danish beetles,M,,,,,,,Y,,,WORKSTATION
54,The focal plane on the stage of the workstation is visually indicated to Digitizer and easy to assess (either by height of the angle or laser line),M,,,,,,,Y,,"How we achieve this is to be decided. (hole small enough to be unassuming, but large enough to accomodate pin sizes encountered in Danish Beetles)",WORKSTATION
24,The camera name is retained and associated with each image (for error checking etc) following ingestion via automated processing,S,,,Y,,,,,,,PROCESSING
13,Images yielded from the label cameras of top 2 labels meet resolution requirements to allow for optimal character recognition (OCR),S,,Y,,,,,,,,LABEL IMAGING
30,Quality standards are adhered to for illumination. Workstation allows for even illumination. All images from the dorsal and lateral specimen cameras are evenly illuminated with an 5% error,S,,,,Y,,,Y,,,"QUALITY, WORKSTATION"
37,The field of view (FOV) of the dorsal and lateral specimen cameras should be as tight around specimen as possible,S,,,,,Y,,,,,SPECIMEN IMAGING
39,"A single, agreed upon field fo view (FOV) is accepted and instituted for all Danish beetles. The workstation is configured to accomodate this FOV measuring 3.6 cm x 2.4 cm at a focal distance of 284 mm",S,,,,,Y,,Y,,,"SPECIMEN IMAGING, WORKSTATION"
49,Workstation supports ability to capture broad associated data from front of drawer/unit trays and take images quickly and efficiently without handling fragile pins unneccesarily to support rate of 825 specimens per day (150 specimens per hour),S,,,,,,,Y,,,WORKSTATION
50,The workstation is designed with enough room for the Digitizer to easily move the specimen and stage through the imaging process without reaching,S,,,,,,,Y,,,WORKSTATION
51,The workstation is constructed from materials that are easy to clean and maintain,S,,,,,,,Y,,,WORKSTATION
52,"The workstation and workflow support minimal Digitizer interaction with the specimen (pin, labels and object)",S,,,,,,,Y,,,WORKSTATION
55,The workstation's stage and base material allow insects to be pinned in a manner that is visually appealing and does not distract in the images yielded from the dorsal and lateral specimen cameras,S,,,,,Y,,Y,,,"WORKSTATION, SPECIMEN IMAGING"
40,"Images yielded from the dorsal and lateral specimen cameras have enough depth of field, that imaging a more 3D specimen (grasshoppers) should still result in an in focus image",S/C,,,,,Y,,,,"How we achieve this is to be decided. (specific aperture settings, like fields of view, can be tailored to groups of insects)",SPECIMEN IMAGING
25,DECIDE IF: All of the stacks of individual images (input files) yielded from dorsal and lateral specimen cameras are to be kept or deleted via automated processing after specimen image processing / focus stacking (into resultant output file)?,,,,Y,,,,,,To be decided,PROCESSING
26,"DECIDE IF: All of the individual images yielded from label cameras and the working derivates (related to label extraction for label reconstruction creation, resizing for mosiac creation) are to be kept or deleted via automated processing after label image processing?",,,,Y,,,,,,To be decided,PROCESSING
,EntomoloGUI has controls to refine the focus for all specimen cameras and label cameras,S,Y,,,,,,,,"Alternatives include manually focus on the lens (this requires easy access to twist the lenses without disrupting the stage, specimen, or other cameras); manually operate the camera to pull focus via auto focus and refine via twisting the lens (this requires easy access to twist the lenses without disrupting the stage, specimen, or other cameras); remotely focus cameras individually  via Canon EOS Utility (this requires unplugging all but the camera being focused)",
67,test,,,,,,,,,,,
